BTCUSDT +0,Ci05_2,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 13:19:04
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,BaseExitLevel,MaxHoldingBars,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,50,200,20,361,332,52.09%,2935681157,26.98%,10882.4877
END

BTCUSDT +0,Ci05,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 13:19:18
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
3,9,26,52,100,150,198,131,60.18%,85907558770,11.89%,722517.7488
3,9,26,52,100,175,198,131,60.18%,85907558770,11.89%,722517.7488
3,9,26,52,100,200,198,131,60.18%,85907558770,11.89%,722517.7488
4,9,26,52,50,150,238,132,64.32%,200067141496,18.17%,1101170.8956
4,9,26,52,50,175,238,132,64.32%,200067141496,18.17%,1101170.8956
4,9,26,52,50,200,238,132,64.32%,200067141496,18.17%,1101170.8956
4,9,26,52,75,150,238,134,63.98%,342833135346,13.64%,2513427.5606
4,9,26,52,75,175,238,134,63.98%,342833135346,13.64%,2513427.5606
4,9,26,52,75,200,238,134,63.98%,342833135346,13.64%,2513427.5606
4,9,26,52,100,150,228,127,64.23%,470942457436,13.33%,3534151.8862
4,9,26,52,100,175,228,127,64.23%,470942457436,13.33%,3534151.8862
4,9,26,52,100,200,228,127,64.23%,470942457436,13.33%,3534151.8862
5,9,26,52,50,150,304,155,66.23%,2903781490,18.05%,16083.6004
5,9,26,52,50,175,222,121,64.72%,157454893662,16.85%,934201.0314
5,9,26,52,50,200,222,121,64.72%,157454893662,16.85%,934201.0314
5,9,26,52,75,150,305,177,63.28%,3362383992,16.07%,20927.2820
5,9,26,52,75,175,221,120,64.81%,414370299590,13.79%,3005708.4337
5,9,26,52,75,200,221,120,64.81%,414370299590,13.79%,3005708.4337
5,9,26,52,100,150,312,167,65.14%,2279657635,15.56%,14646.6304
5,9,26,52,100,175,217,115,65.36%,349388258753,13.75%,2540694.9573
5,9,26,52,100,200,217,115,65.36%,349388258753,13.75%,2540694.9573
6,9,26,52,50,150,266,151,63.79%,556008753,23.34%,2382.6071
6,9,26,52,50,175,245,134,64.64%,3043022239,12.46%,24416.4658
6,9,26,52,50,200,208,114,64.60%,62590920869,18.99%,329580.9690
6,9,26,52,75,150,290,169,63.18%,1538724855,18.94%,8124.3882
6,9,26,52,75,175,262,142,64.85%,10717546781,13.13%,81639.0770
6,9,26,52,75,200,213,120,63.96%,220898605791,13.15%,1679940.5337
6,9,26,52,100,150,287,168,63.08%,1133857285,11.66%,9724.6338
6,9,26,52,100,175,264,132,66.67%,15917537243,10.54%,151018.6026
6,9,26,52,100,200,210,112,65.22%,293460362539,13.75%,2133601.8842
7,9,26,52,50,150,263,129,67.09%,1018603876,15.19%,6705.8404
7,9,26,52,50,175,249,110,69.36%,4135862548,12.15%,34027.0328
7,9,26,52,50,200,227,106,68.17%,10741209340,11.51%,93337.0159
7,9,26,52,75,150,284,150,65.44%,935563726,21.43%,4364.9590
7,9,26,52,75,175,265,127,67.60%,3961424777,12.07%,32823.5116
7,9,26,52,75,200,243,117,67.50%,12220604329,12.43%,98324.0317
7,9,26,52,100,150,277,155,64.12%,776351150,18.87%,4114.2204
7,9,26,52,100,175,263,118,69.03%,5407271389,7.30%,74066.6131
7,9,26,52,100,200,240,106,69.36%,21628289484,10.20%,211995.9678
8,9,26,52,50,150,240,135,64.00%,607384832,14.33%,4237.8332
8,9,26,52,50,175,235,113,67.53%,1554713467,14.65%,10611.9846
8,9,26,52,50,200,216,105,67.29%,3989892118,13.86%,28786.5904
8,9,26,52,75,150,259,139,65.08%,585509500,22.77%,2570.9501
8,9,26,52,75,175,254,116,68.65%,1598194125,19.44%,8220.6156
8,9,26,52,75,200,229,109,67.75%,4976611708,15.26%,32617.7531
8,9,26,52,100,150,261,154,62.89%,713678515,13.24%,5389.5600
8,9,26,52,100,175,256,125,67.19%,2284554798,11.14%,20510.7787
8,9,26,52,100,200,231,113,67.15%,8898255320,13.84%,64271.1749
9,9,26,52,50,150,219,126,63.48%,275887526,18.40%,1499.0298
9,9,26,52,50,175,219,106,67.38%,627661879,15.62%,4018.0614
9,9,26,52,50,200,203,99,67.22%,1637140951,13.01%,12581.0399
9,9,26,52,75,150,238,131,64.50%,476604885,21.74%,2192.7443
9,9,26,52,75,175,235,112,67.72%,1488715013,15.72%,9469.7109
9,9,26,52,75,200,217,103,67.81%,5035873546,11.53%,43679.2577
9,9,26,52,100,150,245,147,62.50%,428459254,18.44%,2323.9565
9,9,26,52,100,175,243,124,66.21%,1438116312,14.07%,10220.1982
9,9,26,52,100,200,230,107,68.25%,6631581744,13.43%,49378.4553
10,9,26,52,50,150,218,103,67.91%,408206880,18.12%,2252.4205
10,9,26,52,50,175,210,98,68.18%,581889705,16.08%,3618.6766
10,9,26,52,50,200,200,94,68.03%,1515537156,13.06%,11604.1801
10,9,26,52,75,150,245,121,66.94%,812804223,17.29%,4701.2353
10,9,26,52,75,175,234,113,67.44%,1701211954,17.29%,9839.7591
10,9,26,52,75,200,220,107,67.28%,5514283361,11.38%,48441.7495
10,9,26,52,100,150,239,141,62.89%,338037521,20.74%,1630.0496
10,9,26,52,100,175,229,127,64.33%,767257734,18.83%,4074.3804
10,9,26,52,100,200,217,114,65.56%,2886540719,18.83%,15328.4409
END

BTCUSDT +0,Ci0501,15m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:15:07
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
1,9,26,52,50,150,0,0,0.00%,1000000,0.00%,0
1,9,26,52,50,175,0,0,0.00%,1000000,0.00%,0
1,9,26,52,50,200,0,0,0.00%,1000000,0.00%,0
1,9,26,52,75,150,0,0,0.00%,1000000,0.00%,0
1,9,26,52,75,175,0,0,0.00%,1000000,0.00%,0
1,9,26,52,75,200,0,0,0.00%,1000000,0.00%,0
1,9,26,52,100,150,0,0,0.00%,1000000,0.00%,0
1,9,26,52,100,175,0,0,0.00%,1000000,0.00%,0
1,9,26,52,100,200,0,0,0.00%,1000000,0.00%,0
2,9,26,52,50,150,620,359,63.33%,5114784175487,11.17%,45807676.6534
2,9,26,52,50,175,620,359,63.33%,5114784175487,11.17%,45807676.6534
2,9,26,52,50,200,620,359,63.33%,5114784175487,11.17%,45807676.6534
2,9,26,52,75,150,0,0,0.00%,1000000,0.00%,0
2,9,26,52,75,175,0,0,0.00%,1000000,0.00%,0
2,9,26,52,75,200,0,0,0.00%,1000000,0.00%,0
2,9,26,52,100,150,0,0,0.00%,1000000,0.00%,0
2,9,26,52,100,175,0,0,0.00%,1000000,0.00%,0
2,9,26,52,100,200,0,0,0.00%,1000000,0.00%,0
3,9,26,52,50,150,545,336,61.86%,2161523755931,17.51%,12343895.0290
3,9,26,52,50,175,545,336,61.86%,2161523755931,17.51%,12343895.0290
3,9,26,52,50,200,545,336,61.86%,2161523755931,17.51%,12343895.0290
3,9,26,52,75,150,554,357,60.81%,5196770463540,14.43%,36013506.7724
3,9,26,52,75,175,554,357,60.81%,5196770463540,14.43%,36013506.7724
3,9,26,52,75,200,554,357,60.81%,5196770463540,14.43%,36013506.7724
3,9,26,52,100,150,450,254,63.92%,2869046349213,9.98%,28758431.9821
3,9,26,52,100,175,450,254,63.92%,2869046349213,9.98%,28758431.9821
3,9,26,52,100,200,450,254,63.92%,2869046349213,9.98%,28758431.9821
4,9,26,52,50,150,496,300,62.31%,1318910103884,11.96%,11027730.2317
4,9,26,52,50,175,496,300,62.31%,1318910103884,11.96%,11027730.2317
4,9,26,52,50,200,496,300,62.31%,1318910103884,11.96%,11027730.2317
4,9,26,52,75,150,494,309,61.52%,1547671716765,13.62%,11362891.9656
4,9,26,52,75,175,494,309,61.52%,1547671716765,13.62%,11362891.9656
4,9,26,52,75,200,494,309,61.52%,1547671716765,13.62%,11362891.9656
4,9,26,52,100,150,471,291,61.81%,4160214390249,11.07%,37595975.5529
4,9,26,52,100,175,471,291,61.81%,4160214390249,11.07%,37595975.5529
4,9,26,52,100,200,471,291,61.81%,4160214390249,11.07%,37595975.5529
5,9,26,52,50,150,580,324,64.16%,5114077593,16.73%,30560.9463
5,9,26,52,50,175,457,263,63.47%,1049903391774,11.96%,8775967.2450
5,9,26,52,50,200,457,263,63.47%,1049903391774,11.96%,8775967.2450
5,9,26,52,75,150,580,350,62.37%,4108875324,14.98%,27424.9423
5,9,26,52,75,175,456,266,63.16%,1280203144423,14.37%,8906876.1776
5,9,26,52,75,200,456,266,63.16%,1280203144423,14.37%,8906876.1776
5,9,26,52,100,150,585,360,61.90%,5619550416,16.38%,34297.8323
5,9,26,52,100,175,450,261,63.29%,3665875555085,12.58%,29151468.3142
5,9,26,52,100,200,450,261,63.29%,3665875555085,12.58%,29151468.3142
6,9,26,52,50,150,576,276,67.61%,1684071069,21.91%,7684.6460
6,9,26,52,50,175,496,260,65.61%,22111903303,20.96%,105489.1260
6,9,26,52,50,200,428,244,63.69%,477525008161,17.59%,2714536.3841
6,9,26,52,75,150,578,321,64.29%,716759184,23.42%,3060.3263
6,9,26,52,75,175,506,281,64.29%,18378823133,23.26%,79003.4677
6,9,26,52,75,200,429,259,62.35%,538780721216,18.82%,2862641.9481
6,9,26,52,100,150,580,327,63.95%,704179800,21.13%,3333.3012
6,9,26,52,100,175,498,282,63.85%,25972201676,21.94%,118379.2004
6,9,26,52,100,200,416,250,62.46%,1099687328962,16.18%,6798677.7691
7,9,26,52,50,150,537,274,66.21%,779365637,21.21%,3673.7812
7,9,26,52,50,175,486,251,65.94%,4676641144,21.74%,21510.0544
7,9,26,52,50,200,435,241,64.35%,56843887307,19.18%,296414.6967
7,9,26,52,75,150,551,307,64.22%,800040866,22.51%,3554.5642
7,9,26,52,75,175,501,270,64.98%,8477767552,19.20%,44157.5746
7,9,26,52,75,200,447,252,63.95%,106033306296,18.82%,563374.6319
7,9,26,52,100,150,539,314,63.19%,491142164,17.63%,2785.2424
7,9,26,52,100,175,493,262,65.30%,5433621004,16.38%,33163.0484
7,9,26,52,100,200,431,235,64.71%,138177330728,12.58%,1098802.1873
8,9,26,52,50,150,497,268,64.97%,590616552,20.08%,2940.6658
8,9,26,52,50,175,457,257,64.01%,2238016030,21.97%,10187.8483
8,9,26,52,50,200,423,242,63.61%,18730661048,16.16%,115905.2132
8,9,26,52,75,150,525,284,64.89%,612705499,12.80%,4788.3008
8,9,26,52,75,175,485,259,65.19%,3182044363,11.53%,27587.5774
8,9,26,52,75,200,445,240,64.96%,37981361108,9.60%,395579.6431
8,9,26,52,100,150,499,316,61.23%,256468321,11.16%,2298.3092
8,9,26,52,100,175,470,271,63.43%,1894574552,17.87%,10600.3319
8,9,26,52,100,200,437,236,64.93%,28344632495,14.13%,200580.6556
9,9,26,52,50,150,462,241,65.72%,420580946,23.79%,1768.2569
9,9,26,52,50,175,429,228,65.30%,934216239,19.69%,4745.6115
9,9,26,52,50,200,401,218,64.78%,4729968377,17.52%,27004.4987
9,9,26,52,75,150,507,253,66.71%,1558597921,12.62%,12348.7699
9,9,26,52,75,175,465,229,67.00%,3516728917,11.36%,30953.6118
9,9,26,52,75,200,432,213,66.98%,20878453591,11.36%,183768.3721
9,9,26,52,100,150,496,277,64.17%,714538932,11.65%,6132.4702
9,9,26,52,100,175,457,246,65.01%,2379902109,17.87%,13315.7876
9,9,26,52,100,200,433,217,66.62%,19162154885,17.87%,107214.1508
10,9,26,52,50,150,441,221,66.62%,467191965,19.35%,2414.9660
10,9,26,52,50,175,413,207,66.61%,1598709960,14.04%,11383.7491
10,9,26,52,50,200,394,198,66.55%,4401693650,17.52%,25130.3013
10,9,26,52,75,150,486,247,66.30%,843802631,14.36%,5877.9341
10,9,26,52,75,175,449,233,65.84%,2672824429,14.26%,18737.0665
10,9,26,52,75,200,423,218,65.99%,11542075180,18.16%,63549.1296
10,9,26,52,100,150,473,264,64.18%,948446158,9.11%,10412.9255
10,9,26,52,100,175,448,230,66.08%,3454903790,14.13%,24448.6101
10,9,26,52,100,200,421,211,66.61%,15796337419,17.87%,88382.0694
END

BTCUSDT +0,Ci0501,5m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:15:28
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
1,9,26,52,50,150,0,0,0.00%,1000000,0.00%,0
1,9,26,52,50,175,0,0,0.00%,1000000,0.00%,0
1,9,26,52,50,200,0,0,0.00%,1000000,0.00%,0
1,9,26,52,75,150,0,0,0.00%,1000000,0.00%,0
1,9,26,52,75,175,0,0,0.00%,1000000,0.00%,0
1,9,26,52,75,200,0,0,0.00%,1000000,0.00%,0
1,9,26,52,100,150,0,0,0.00%,1000000,0.00%,0
1,9,26,52,100,175,0,0,0.00%,1000000,0.00%,0
1,9,26,52,100,200,0,0,0.00%,1000000,0.00%,0
2,9,26,52,50,150,1920,1116,63.24%,6805172074861538,13.53%,50282069079.9573
2,9,26,52,50,175,1920,1116,63.24%,6805172074861538,13.53%,50282069079.9573
2,9,26,52,50,200,1920,1116,63.24%,6805172074861538,13.53%,50282069079.9573
2,9,26,52,75,150,0,0,0.00%,1000000,0.00%,0
2,9,26,52,75,175,0,0,0.00%,1000000,0.00%,0
2,9,26,52,75,200,0,0,0.00%,1000000,0.00%,0
2,9,26,52,100,150,0,0,0.00%,1000000,0.00%,0
2,9,26,52,100,175,0,0,0.00%,1000000,0.00%,0
2,9,26,52,100,200,0,0,0.00%,1000000,0.00%,0
3,9,26,52,50,150,1728,967,64.12%,10900755992897600,13.63%,79974786627.5993
3,9,26,52,50,175,1728,967,64.12%,10900755992897600,13.63%,79974786627.5993
3,9,26,52,50,200,1728,967,64.12%,10900755992897600,13.63%,79974786627.5993
3,9,26,52,75,150,1722,1018,62.85%,27506785133611403,15.82%,173840545179.2456
3,9,26,52,75,175,1722,1018,62.85%,27506785133611403,15.82%,173840545179.2456
3,9,26,52,75,200,1722,1018,62.85%,27506785133611403,15.82%,173840545179.2456
3,9,26,52,100,150,1384,767,64.34%,25049484233112060,14.97%,167287351266.1645
3,9,26,52,100,175,1384,767,64.34%,25049484233112060,14.97%,167287351266.1645
3,9,26,52,100,200,1384,767,64.34%,25049484233112060,14.97%,167287351266.1645
4,9,26,52,50,150,1534,837,64.70%,5720826111029505,13.65%,41914963893.4059
4,9,26,52,50,175,1534,837,64.70%,5720826111029505,13.65%,41914963893.4059
4,9,26,52,50,200,1534,837,64.70%,5720826111029505,13.65%,41914963893.4059
4,9,26,52,75,150,1534,897,63.10%,12472866378228057,14.92%,83611903556.9633
4,9,26,52,75,175,1534,897,63.10%,12472866378228057,14.92%,83611903556.9633
4,9,26,52,75,200,1534,897,63.10%,12472866378228057,14.92%,83611903556.9633
4,9,26,52,100,150,1445,855,62.83%,27342136379198429,12.85%,212725843222.6103
4,9,26,52,100,175,1445,855,62.83%,27342136379198429,12.85%,212725843222.6103
4,9,26,52,100,200,1445,855,62.83%,27342136379198429,12.85%,212725843222.6103
5,9,26,52,50,150,1737,933,65.06%,62365148730,18.36%,339620.0559
5,9,26,52,50,175,1394,787,63.92%,1911410227192860,14.11%,13545430849.1445
5,9,26,52,50,200,1394,787,63.92%,1911410227192860,14.11%,13545430849.1445
5,9,26,52,75,150,1827,995,64.74%,154442529491,20.39%,757396.2497
5,9,26,52,75,175,1426,795,64.21%,7374020451184814,15.51%,47552998823.6103
5,9,26,52,75,200,1426,795,64.21%,7374020451184814,15.51%,47552998823.6103
5,9,26,52,100,150,1783,1019,63.63%,190081938151,13.31%,1427623.4580
5,9,26,52,100,175,1379,766,64.29%,12148270620995598,14.01%,86724980539.8535
5,9,26,52,100,200,1379,766,64.29%,12148270620995598,14.01%,86724980539.8535
6,9,26,52,50,150,1709,875,66.14%,10457026439,16.46%,63526.9632
6,9,26,52,50,175,1493,777,65.77%,4780610627149,11.97%,39924885.1823
6,9,26,52,50,200,1337,724,64.87%,959485277480052,14.61%,6565712065.6041
6,9,26,52,75,150,1787,956,65.15%,10704738607,12.57%,85163.0705
6,9,26,52,75,175,1543,814,65.46%,7522496739334,12.00%,62690618.3816
6,9,26,52,75,200,1378,730,65.37%,2024294402666427,14.24%,14212810402.3399
6,9,26,52,100,150,1736,987,63.75%,5771387448,9.83%,58684.9581
6,9,26,52,100,175,1488,817,64.56%,10821750360408,9.72%,111312585.0710
6,9,26,52,100,200,1321,709,65.07%,3511385489263886,9.97%,35208893348.0039
7,9,26,52,50,150,1613,817,66.38%,7077939267,11.74%,60290.0507
7,9,26,52,50,175,1488,720,67.39%,596609018552,11.07%,5387098.0157
7,9,26,52,50,200,1347,672,66.72%,48235715391768,13.90%,346961695.8266
7,9,26,52,75,150,1662,907,64.69%,5516257729,11.33%,48676.1294
7,9,26,52,75,175,1518,778,66.11%,682645297399,11.28%,6054057.3840
7,9,26,52,75,200,1371,715,65.72%,52283355366715,14.68%,356139330.8304
7,9,26,52,100,150,1638,916,64.13%,8258094836,13.66%,60437.9876
7,9,26,52,100,175,1486,750,66.46%,1958951864325,12.40%,15792194.0223
7,9,26,52,100,200,1331,672,66.45%,222886235304856,8.99%,2480027098.6043
8,9,26,52,50,150,1479,760,66.06%,3669813090,11.35%,32320.5889
8,9,26,52,50,175,1407,669,67.77%,99064126718,13.47%,735252.2462
8,9,26,52,50,200,1304,626,67.56%,6200748262302,15.72%,39456785.6314
8,9,26,52,75,150,1584,842,65.29%,4363251779,10.76%,40560.8173
8,9,26,52,75,175,1492,728,67.21%,176277186490,14.47%,1218210.1447
8,9,26,52,75,200,1366,672,67.03%,8983547564275,14.94%,60110742.2104
8,9,26,52,100,150,1578,883,64.12%,4620514282,10.30%,44852.1386
8,9,26,52,100,175,1464,735,66.58%,303961244757,10.32%,2945713.6936
8,9,26,52,100,200,1340,658,67.07%,21993449685738,10.32%,213140349.3891
9,9,26,52,50,150,1376,706,66.09%,2520036369,18.63%,13524.8990
9,9,26,52,50,175,1325,633,67.67%,45475118887,15.80%,287768.0501
9,9,26,52,50,200,1244,602,67.39%,555623491082,15.38%,3611733.8353
9,9,26,52,75,150,1504,751,66.70%,6782579088,12.90%,52583.7334
9,9,26,52,75,175,1434,656,68.61%,166425925761,13.43%,1239217.7407
9,9,26,52,75,200,1341,610,68.73%,3034441484742,13.66%,22206432.3367
9,9,26,52,100,150,1494,829,64.31%,4427993218,12.11%,36566.7471
9,9,26,52,100,175,1397,707,66.40%,193211536771,9.80%,1971032.1344
9,9,26,52,100,200,1299,644,66.86%,4138767727597,9.80%,42221309.9917
10,9,26,52,50,150,1308,651,66.77%,3258742156,19.00%,17154.5582
10,9,26,52,50,175,1264,587,68.29%,35631396836,18.69%,190624.7533
10,9,26,52,50,200,1193,558,68.13%,534627742010,15.77%,3390848.2666
10,9,26,52,75,150,1457,710,67.24%,12303463144,11.00%,111868.2405
10,9,26,52,75,175,1395,618,69.30%,220155792497,10.23%,2151999.8609
10,9,26,52,75,200,1302,579,69.22%,4271129539841,8.80%,48544603.4117
10,9,26,52,100,150,1430,787,64.50%,5135114992,10.18%,50463.8703
10,9,26,52,100,175,1372,660,67.52%,130427355079,9.76%,1336087.4865
10,9,26,52,100,200,1285,605,67.99%,3424060895785,9.76%,35075808.3915
END

BTCUSDT +0,Ci0501,5m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:16:30
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,50,150,1308,651,66.77%,3258742156,19.00%,17154.5582
10,9,26,52,50,175,1264,587,68.29%,35631396836,18.69%,190624.7533
10,9,26,52,50,200,1193,558,68.13%,534627742010,15.77%,3390848.2666
10,9,26,52,75,150,1457,710,67.24%,12303463144,11.00%,111868.2405
10,9,26,52,75,175,1395,618,69.30%,220155792497,10.23%,2151999.8609
10,9,26,52,75,200,1302,579,69.22%,4271129539841,8.80%,48544603.4117
10,9,26,52,100,150,1430,787,64.50%,5135114992,10.18%,50463.8703
10,9,26,52,100,175,1372,660,67.52%,130427355079,9.76%,1336087.4865
10,9,26,52,100,200,1285,605,67.99%,3424060895785,9.76%,35075808.3915
12,9,26,52,50,150,1193,595,66.72%,3139262965,12.69%,24742.6265
12,9,26,52,50,175,1172,533,68.74%,19376378692,10.23%,189355.6759
12,9,26,52,50,200,1108,516,68.23%,218874249781,8.45%,2589774.8267
12,9,26,52,75,150,1319,682,65.92%,8764297969,14.68%,59693.4347
12,9,26,52,75,175,1291,587,68.74%,78099879627,9.49%,822869.9110
12,9,26,52,75,200,1211,556,68.53%,1184680937276,11.22%,10558440.9919
12,9,26,52,100,150,1336,761,63.71%,4066657181,9.03%,45048.3392
12,9,26,52,100,175,1316,619,68.01%,62374526120,8.92%,699459.2038
12,9,26,52,100,200,1232,575,68.18%,1016594648586,10.35%,9824683.1458
14,9,26,52,50,150,1128,570,66.43%,1840606644,10.76%,17102.8594
14,9,26,52,50,175,1108,527,67.77%,7742491729,9.63%,80436.9494
14,9,26,52,50,200,1069,497,68.26%,38712741914,9.35%,414108.0917
14,9,26,52,75,150,1232,651,65.43%,7386886547,13.19%,56006.1236
14,9,26,52,75,175,1216,582,67.63%,42947480848,12.91%,332652.9748
14,9,26,52,75,200,1172,532,68.78%,386465356151,8.21%,4704925.4749
14,9,26,52,100,150,1284,715,64.23%,7435519044,15.75%,47223.4140
14,9,26,52,100,175,1273,582,68.63%,70722943938,15.62%,452650.7659
14,9,26,52,100,200,1225,517,70.32%,816390395592,14.68%,5562832.0673
16,9,26,52,50,150,1035,548,65.38%,1467793085,10.77%,13630.5356
16,9,26,52,50,175,1023,503,67.04%,4767919983,10.31%,46242.4395
16,9,26,52,50,200,989,490,66.87%,12867351780,9.60%,133996.6703
16,9,26,52,75,150,1182,640,64.87%,12237296536,10.82%,113092.1664
16,9,26,52,75,175,1176,560,67.74%,52438366552,8.59%,610284.3585
16,9,26,52,75,200,1143,525,68.53%,235333437798,6.35%,3703857.8442
16,9,26,52,100,150,1239,672,64.84%,9692233752,15.47%,62652.5292
16,9,26,52,100,175,1232,551,69.10%,83388111289,17.97%,464086.9567
16,9,26,52,100,200,1190,500,70.41%,548810455809,15.76%,3482576.2321
18,9,26,52,50,150,999,520,65.77%,2686582451,10.77%,24941.4410
18,9,26,52,50,175,981,494,66.51%,4166817295,8.62%,48347.6159
18,9,26,52,50,200,949,476,66.60%,14296817216,8.03%,178005.1273
18,9,26,52,75,150,1165,611,65.60%,16338572345,8.19%,199512.1457
18,9,26,52,75,175,1156,547,67.88%,35460340189,8.44%,419990.5760
18,9,26,52,75,200,1121,511,68.69%,200966074820,6.47%,3107093.7036
18,9,26,52,100,150,1220,656,65.03%,21602739979,13.11%,164790.1562
18,9,26,52,100,175,1213,559,68.45%,81063695967,18.00%,450264.6259
18,9,26,52,100,200,1169,506,69.79%,610162358130,14.76%,4134878.7574
20,9,26,52,50,150,956,524,64.59%,3093460555,10.56%,29303.4873
20,9,26,52,50,175,948,504,65.29%,5793594960,9.64%,60108.1239
20,9,26,52,50,200,930,480,65.96%,13211780413,9.64%,137071.2552
20,9,26,52,75,150,1142,601,65.52%,19624906204,11.62%,168943.1212
20,9,26,52,75,175,1129,553,67.12%,50164603513,10.98%,456839.6415
20,9,26,52,75,200,1100,516,68.07%,136671282395,11.05%,1236703.5727
20,9,26,52,100,150,1187,659,64.30%,21098100201,10.10%,208847.1811
20,9,26,52,100,175,1184,565,67.70%,84550770163,11.28%,749671.7507
20,9,26,52,100,200,1156,509,69.43%,345665390522,10.90%,3172228.3674
END

BTCUSDT +0,Ci0501,5m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:17:57
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,75,150,1457,710,67.24%,12303463144,11.00%,111868.2405
END

BTCUSDT +0,Ci0501,5m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:21:28
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,75,150,1458,709,67.28%,533090162,14.52%,3672.0721
END

BTCUSDT +0,Ci0501,5m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:22:08
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
BTCUSDT +0,Ci0501,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:22:26
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
5,9,26,52,-50,0,278,219,55.94%,398411739,18.67%,2133.8256
5,9,26,52,-50,50,262,215,54.93%,109493155,18.63%,587.8248
5,9,26,52,-50,100,282,168,62.67%,33202680,20.91%,158.8111
5,9,26,52,-50,150,265,132,66.75%,251347748,18.05%,1392.3672
5,9,26,52,-50,200,214,120,64.07%,8840556215,15.21%,58134.3005
5,9,26,52,-25,0,283,243,53.80%,426261331,16.80%,2537.1906
5,9,26,52,-25,50,271,234,53.66%,102658410,20.78%,494.0355
5,9,26,52,-25,100,286,186,60.59%,25969240,28.62%,90.7482
5,9,26,52,-25,150,272,136,66.67%,384849272,20.91%,1840.8810
5,9,26,52,-25,200,215,123,63.61%,15832124539,16.42%,96411.5442
5,9,26,52,0,0,291,266,52.24%,428022546,16.47%,2598.0134
5,9,26,52,0,50,275,257,51.69%,93348521,18.72%,498.7247
5,9,26,52,0,100,289,205,58.50%,26156365,28.06%,93.2025
5,9,26,52,0,150,275,144,65.63%,432629013,22.33%,1937.3483
5,9,26,52,0,200,214,125,63.13%,13786665030,17.65%,78120.2430
5,9,26,52,25,0,286,271,51.35%,708543957,18.65%,3798.8744
5,9,26,52,25,50,284,286,49.82%,170788513,24.30%,702.8273
5,9,26,52,25,100,299,218,57.83%,44401285,23.42%,189.5661
5,9,26,52,25,150,282,143,66.35%,753856998,18.53%,4067.4320
5,9,26,52,25,200,221,121,64.62%,43290456640,17.83%,242760.1948
5,9,26,52,50,0,287,270,51.53%,1149575958,19.42%,5918.8199
5,9,26,52,50,50,312,335,48.22%,191047653,21.96%,870.0197
5,9,26,52,50,100,323,255,55.88%,54156862,32.56%,166.3426
5,9,26,52,50,150,304,155,66.23%,1504875643,20.17%,7461.9454
5,9,26,52,50,200,222,121,64.72%,97227568199,17.88%,543695.3210
10,9,26,52,-50,0,135,114,54.22%,132327515,21.98%,602.1226
10,9,26,52,-50,50,140,103,57.61%,83349417,15.98%,521.5619
10,9,26,52,-50,100,144,92,61.02%,30607501,20.18%,151.6675
10,9,26,52,-50,150,148,79,65.20%,37086880,14.88%,249.1648
10,9,26,52,-50,200,139,77,64.35%,73566592,13.31%,552.7741
10,9,26,52,-25,0,146,130,52.90%,201591000,24.61%,819.0430
10,9,26,52,-25,50,149,116,56.23%,115806549,17.74%,652.9484
10,9,26,52,-25,100,152,102,59.84%,40278362,20.99%,191.8542
10,9,26,52,-25,150,160,83,65.84%,59159724,14.31%,413.4056
10,9,26,52,-25,200,151,78,65.94%,134138258,15.01%,893.4392
